DATA,LOJA,PREÇO
08/02/2018,NAVERIO NAVEGACAO DO RIO AMAZONAS LTDA,30
09/02/2018,ATACADAO S.A.,"30,99"
09/02/2018,SB COMERCIO LTDA,"31,05"
10/02/2018,SB COMERCIO LTDA,"18,17"
12/02/2018,NATUREZA COMERCIO DE DESCARTAVEIS LTDA,"71,1"
12/02/2018,CARREFOUR COMERCIO E INDUSTRIA LTDA,"3,49"
14/02/2018,BEMOL S/A,"21,2"
21/02/2018,SB COMERCIO LTDA,"32,34"
21/02/2018,NAVERIO NAVEGACAO DO RIO AMAZONAS LTDA,35
23/02/2018,SB COMERCIO LTDA,"29,35"
24/02/2018,SUPERMERCADOS DB LTDA,"367,04"
26/02/2018,NATUREZA COMERCIO DE DESCARTAVEIS LTDA,"47,85"
02/03/2018,NAVERIO NAVEGACAO DO RIO AMAZONAS LTDA,20
03/03/2018,PLANCA LOJAS DE CONVENIENCIA LTDA,50
06/03/2018,POSTO FUTURO COMERCIO DE COMBUSTIVEIS LTDA,20
06/03/2018,BEMOL S/A,"813,15"
07/03/2018,PETROMAY DERIVADOS DE PETROLEO LTDA,20
09/03/2018,CARREFOUR COMERCIO E INDUSTRIA LTDA,"16,08"
10/03/2018,AMAZON COMBUSTIVEIS PARA VEICULOS E CONSTRUCOES LTDA,30
10/03/2018,ATACADAO S.A.,"202,84"
13/03/2018,NAVERIO NAVEGACAO DO RIO AMAZONAS LTDA,20
13/03/2018,SUPERMERCADOS DB LTDA,"205,93"
13/03/2018,ATACADAO S.A.,"71,87"
13/03/2018,AUTO POSTO TURISMO COMERCIO DE DERIVADOS DE PETROLEO LTDA,33
14/03/2018,AMAZON COMBUSTIVEIS PARA VEICULOS E CONSTRUCOES LTDA,25
17/03/2018,CDL CENTRO DE DISTRIBUICAO E LOGISTICA LTDA,"121,49"
17/03/2018,SUPERMERCADOS DB LTDA,"492,13"
17/03/2018,ATACADAO S.A.,"75,52"
20/03/2018,NAVERIO NAVEGACAO DO RIO AMAZONAS LTDA,30
24/03/2018,DENYS ANTONIO ABDALA TUMA,20
24/03/2018,BEMOL S/A,73
28/03/2018,BEMOL S/A,329
29/03/2018,POSTO 3000 LTDA,"30,01"
29/03/2018,POSTO 3000 LTDA,"3,99"
03/04/2018,B F COMERCIO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA LTDA,35
03/04/2018,B F COMERCIO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA LTDA,27
07/04/2018,CDL CENTRO DE DISTRIBUICAO E LOGISTICA LTDA,"90,93"
07/04/2018,SUPERMERCADOS DB LTDA,"441,23"
07/04/2018,ATACADAO S.A.,"357,93"
11/04/2018,CARREFOUR COMERCIO E INDUSTRIA LTDA,"190,62"
20/04/2018,SUPERMERCADOS DB LTDA,"16,85"
21/04/2018,C & A MODAS S.A.,"129,98"
30/04/2018,BEMOL S/A,149
05/05/2018,SUPERMERCADOS DB LTDA,"76,94"
09/05/2018,MERCANTIL NOVA ERA LTDA,"40,94"
19/05/2018,C & A MODAS S.A.,"139,98"
29/05/2018,TOP INTERNACIONAL LTDA,239
29/05/2018,BEMOL S/A,39
02/06/2018,C & A MODAS S.A.,"75,98"
03/06/2018,SUPERMERCADOS DB LTDA,"256,5"
06/06/2018,SUPERMERCADOS DB LTDA,"17,26"
06/06/2018,E VALES OLIVEIRA EPP,55
09/06/2018,BEMOL S/A,586
11/06/2018,MERCANTIL NOVA ERA LTDA,"29,65"
12/06/2018,SUPERMERCADOS DB LTDA,"160,3"
22/06/2018,SUPERMERCADOS DB LTDA,"34,06"
24/07/2018,SUPERMERCADOS DB LTDA,"42,95"
26/07/2018,BEMOL S/A,"2.005,90"
15/08/2018,SUPERMERCADOS DB LTDA,"61,91"
05/09/2018,SUPERMERCADOS DB LTDA,"49,09"
08/09/2018,PMZ DISTRIBUIDORA S.A,"33,8"
13/09/2018,SB COMERCIO LTDA,"30,27"
21/09/2018,SUPERMERCADOS DB LTDA,"85,83"
04/10/2018,BEMOL S/A,"541,71"
12/10/2018,SARAIVA E SICILIANO S/A,62
12/10/2018,LOJAS RENNER SOCIEDADE ANONIMA,"42,12"
12/10/2018,GERBERA COSMETICOS LTDA,"103,9"
14/10/2018,SUPERMERCADOS DB LTDA,"69,8"
31/10/2018,SB COMERCIO LTDA,"75,56"
01/11/2018,TOKIO COMPONENTES ELETRONICOS LTDA,65
03/11/2018,CARREFOUR COMERCIO E INDUSTRIA LTDA,"49,57"
15/11/2018,CARREFOUR COMERCIO E INDUSTRIA LTDA,"10,99"
17/11/2018,PMZ DISTRIBUIDORA S.A,90
18/11/2018,CARREFOUR COMERCIO E INDUSTRIA LTDA,"3,99"
18/11/2018,SUPERMERCADOS DB LTDA,"90,14"
09/12/2018,SUPERMERCADOS DB LTDA,"87,86"
18/12/2018,C C GUEDES - ME,100
27/12/2018,BEMOL S/A,29
08/01/2019,CARREFOUR COMERCIO E INDUSTRIA LTDA,"79,19"
30/01/2019,LOJAS RENNER S.A.,"784,7"
01/02/2019,FISIA COMERCIO DE PRODUTOS ESPORTIVOS LTDA,"429,8"
01/02/2019,SGHMAN COMERCIO DE OCULOS LTDA,470
01/02/2019,SARAIVA E SICILIANO S/A,"102,2"
01/02/2019,ROSENY LIMA DA SILVA - EPP,470
05/02/2019,CASA DO ELETRICISTA LTDA,18
26/02/2019,SUPERMERCADOS DB LTDA,"72,91"
27/03/2019,SUPERMERCADOS DB LTDA,"459,98"
30/03/2019,SUPERMERCADOS DB LTDA,"12,37"
28/04/2019,SUPERMERCADOS DB LTDA,"41,54"
28/04/2019,MEDEIROS COMERCIO DE ALIMENTOS LTDA - ME,"29,99"
29/04/2019,J B N MARQUES,"59,99"
30/04/2019,SUPERMERCADOS DB LTDA,"108,21"
27/06/2019,BEMOL S/A,48
04/08/2019,LOJAS RIACHUELO SA,"159,9"
04/08/2019,SUPERMERCADOS DB LTDA,"36,65"
11/08/2019,SUPERMERCADOS DB LTDA,"63,78"
11/08/2019,TAPAJOS COMERCIO DE MEDICAMENTOS LTDA,"10,41"
05/09/2019,SUPERMERCADOS DB LTDA,"64,76"
21/09/2019,SUPERMERCADOS DB LTDA,"25,67"
27/09/2019,DROGARIAS FARMABEM LTDA,"9,99"
08/10/2019,SUPERMERCADOS DB LTDA,"84,34"
10/10/2019,BEMOL S/A,36
11/10/2019,BEMOL S/A,32
16/10/2019,BEMOL S/A,56
27/10/2019,SUPERMERCADOS DB LTDA,"40,85"
29/10/2019,POSTO FUTURO COMERCIO DE COMBUSTIVEIS LTDA,11
30/10/2019,MERCANTIL NOVA ERA LTDA,"44,82"
04/11/2019,HILEIA COMERCIO DE COSMETICOS LTDA - EPP,"206,9"
08/11/2019,SUPERMERCADOS DB LTDA,"30,73"
09/11/2019,MERCANTIL NOVA ERA LTDA,"371,58"
09/11/2019,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"335,55"
09/11/2019,SUPERMERCADOS DB LTDA,"141,11"
09/11/2019,ATACADAO S.A.,"149,67"
09/11/2019,NATUREZA COMERCIO DE DESCARTAVEIS LTDA,"98,94"
15/11/2019,MERCANTIL NOVA ERA LTDA,"391,9"
15/11/2019,SUPERMERCADOS DB LTDA,"452,05"
15/11/2019,ATACADAO S.A.,"204,53"
19/11/2019,CARREFOUR COMERCIO E INDUSTRIA LTDA,"61,98"
20/11/2019,DROGARIAS FARMABEM LTDA,"56,58"
23/11/2019,MERCANTIL NOVA ERA LTDA,"394,02"
23/11/2019,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"298,58"
23/11/2019,CDL CENTRO DE DISTRIBUICAO E LOGISTICA LTDA,"64,33"
23/11/2019,SUPERMERCADOS DB LTDA,"499,12"
23/11/2019,ATACADAO S.A.,"199,15"
25/11/2019,NATUREZA COMERCIO DE DESCARTAVEIS LTDA,"106,4"
26/11/2019,SUPERMERCADOS DB LTDA,"92,9"
27/11/2019,PLANCA LOJAS DE CONVENIENCIA LTDA,"7,5"
28/11/2019,SUPERMERCADOS DB LTDA,"75,08"
29/11/2019,RONDOBRAS DO AMAZONAS DISTRIBUIDORA DE AUTO PECAS LTDA,74
30/11/2019,MERCANTIL NOVA ERA LTDA,"532,45"
30/11/2019,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"331,67"
30/11/2019,SUPERMERCADOS DB LTDA,"635,8"
30/11/2019,ATACADAO S.A.,"425,02"
01/12/2019,Q1 COMERCIAL DE ROUPAS S.A.,"199,98"
01/12/2019,K HIGASHI,"366,3"
01/12/2019,K HIGASHI,"269,9"
02/12/2019,MERCANTIL NOVA ERA LTDA,"93,22"
02/12/2019,MEDEIROS COMERCIO DE ALIMENTOS LTDA - ME,"72,71"
03/12/2019,G M COMERCIO DE ARTIGO DO VESTUARIO E ACESSORIO LTDA,305
03/12/2019,DAMYLLER COMERCIO DE CONFECCOES LTDA,531
06/12/2019,SUPERMERCADOS DB LTDA,"358,3"
06/12/2019,MERCANTIL NOVA ERA LTDA,"231,3"
07/12/2019,MERCANTIL NOVA ERA LTDA,"350,22"
07/12/2019,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"315,16"
07/12/2019,SUPERMERCADOS DB LTDA,"245,24"
07/12/2019,ATACADAO S.A.,"181,74"
08/12/2019,SUPERMERCADOS DB LTDA,"281,1"
09/12/2019,IRMAOS BRITO DISTRIBUIDORA COMERCIO DE MATERIAL DE CONSTRUCAO E SERVICOS LTDA EP,50
09/12/2019,SUPERMERCADO DB LTDA,"28,76"
09/12/2019,CELIO F. ALVES,127
10/12/2019,MERCANTIL NOVA ERA LTDA,"131,58"
10/12/2019,BONNA VITTA INDUSTRIA E COMERCIO LTDA,"101,32"
11/12/2019,BONNA VITTA INDUSTRIA E COMERCIO LTDA,78
11/12/2019,SUPERMERCADOS DB LTDA,"132,45"
11/12/2019,IBBY COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,"74,56"
13/12/2019,NATUREZA COMERCIO DE DESCARTAVEIS LTDA,"16,49"
13/12/2019,SUPERMERCADOS DB LTDA,"23,83"
13/12/2019,AMAZON COMBUSTIVEIS PARA VEICULOS E CONSTRUCOES LTDA,15
13/12/2019,SUPERMERCADOS DB LTDA,"463,69"
14/12/2019,SUPERMERCADOS DB LTDA,"199,54"
14/12/2019,IBBY COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,"146,59"
14/12/2019,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"202,18"
14/12/2019,SUPERMERCADOS DB LTDA,"610,09"
14/12/2019,ATACADAO S.A.,"476,42"
14/12/2019,NATUREZA COMERCIO DE DESCARTAVEIS LTDA,"164,9"
16/12/2019,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"53,82"
16/12/2019,IRMAOS BRITO DISTRIBUIDORA COMERCIO DE MATERIAL DE CONSTRUCAO E SERVICOS LTDA EP,14
17/12/2019,MERCANTIL NOVA ERA LTDA,"101,87"
17/12/2019,SUPERMERCADOS DB LTDA,"68,33"
18/12/2019,AUTO POSTO TURISMO COMERCIO DE DERIVADOS DE PETROLEO LTDA,50
18/12/2019,AUTO POSTO GASPETRO COMERCIO DE DERIVADOS DE PETROLEO LTDA,30
18/12/2019,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"43,44"
18/12/2019,BONNA VITTA INDUSTRIA E COMERCIO LTDA,"61,3"
19/12/2019,BEMOL S/A,77
19/12/2019,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"306,72"
19/12/2019,ATACADAO S.A.,"87,72"
19/12/2019,NATUREZA COMERCIO DE DESCARTAVEIS LTDA,"50,84"
19/12/2019,AUTO POSTO TURISMO COMERCIO DE DERIVADOS DE PETROLEO LTDA,50
19/12/2019,BEMOL S/A,222
20/12/2019,PORTELA AUTO POSTO LTDA,20
20/12/2019,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"975,56"
21/12/2019,IBBY COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,"221,5"
21/12/2019,SUPERMERCADOS DB LTDA,"217,34"
21/12/2019,MERCANTIL NOVA ERA LTDA,"178,07"
21/12/2019,SUPERMERCADOS DB LTDA,"84,29"
21/12/2019,ATACADAO S.A.,"365,88"
23/12/2019,AUTO POSTO TURISMO COMERCIO DE DERIVADOS DE PETROLEO LTDA,20
23/12/2019,ATACADAO S.A.,"102,92"
26/12/2019,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"267,08"
27/12/2019,AUTO POSTO TURISMO COMERCIO DE DERIVADOS DE PETROLEO LTDA,20
27/12/2019,SUPERMERCADOS DB LTDA,"445,11"
27/12/2019,IBBY COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,"117,16"
28/12/2019,SUPERMERCADOS DB LTDA,"305,01"
28/12/2019,AUTO POSTO GASPETRO COMERCIO DE DERIVADOS DE PETROLEO LTDA,50
28/12/2019,MERCANTIL NOVA ERA LTDA,"142,02"
28/12/2019,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"387,98"
28/12/2019,BONNA VITTA INDUSTRIA E COMERCIO LTDA,"138,71"
28/12/2019,SUPERMERCADOS DB LTDA,"113,69"
28/12/2019,ATACADAO S.A.,"221,33"
28/12/2019,KEULY SILVEIRA DA SILVA,"111,5"
29/12/2019,SUPERMERCADOS DB LTDA,"9,69"
31/12/2019,SUPERMERCADOS DB LTDA,"27,7"
02/01/2020,MERCANTIL NOVA ERA LTDA,"19,03"
02/01/2020,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"272,74"
03/01/2020,L J GUERRA & CIA LTDA,"591,1"
03/01/2020,L J GUERRA & CIA LTDA,"932,44"
03/01/2020,SUPERMERCADOS DB LTDA,"532,63"
04/01/2020,CARREFOUR COMERCIO E INDUSTRIA LTDA,"43,98"
04/01/2020,MERCANTIL NOVA ERA LTDA,"140,13"
04/01/2020,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"149,8"
04/01/2020,SUPERMERCADOS DB LTDA,"151,24"
04/01/2020,SUPERMERCADOS DB LTDA,"497,75"
04/01/2020,ATACADAO S.A.,"261,08"
06/01/2020,BONNA VITTA INDUSTRIA E COMERCIO LTDA,"17,44"
